osm_id,name,latitude,longitude,distance_from_aeos_m,distance_from_manyata_m,within_manyata_20km,category,equipment_type,direction,survey_date,osm_last_edit,snapshot_base,review_state,working_status,source_url,snapshot_url,license
node/10882968306,,12.9300574,77.6292699,15247,13120,True,public,camera,,2023-05-10,2023-05-10T09:05:55Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/10882968306,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/13152414828,,12.9264133,77.5762248,15291,14294,True,public,camera,203,,2025-09-18T08:29:36Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/13152414828,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/13564374909,,12.9277978,77.6208859,15293,13333,True,public,camera,40,,2026-02-14T14:52:19Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/13564374909,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/13564374910,,12.927797,77.6208814,15293,13333,True,public,camera,262,,2026-02-14T14:52:19Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/13564374910,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/7193001991,,12.9288759,77.6262715,15297,13230,True,public,camera,,,2020-03-09T11:11:15Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/7193001991,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/6935371210,,12.9424003,77.5257486,15302,15532,True,public,camera,,,2019-10-31T16:34:22Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/6935371210,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/10882968605,,12.9276392,77.620856,15309,13350,True,public,camera,,2023-05-10,2023-05-12T13:20:00Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/10882968605,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/10882886808,,12.9276303,77.620854,15310,13351,True,public,camera,119,2023-05-10,2023-05-16T09:31:43Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/10882886808,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/10882966706,,12.9276362,77.6208526,15310,13351,True,public,camera,125,2023-05-10,2023-05-16T09:32:22Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/10882966706,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/9958713117,,12.930633,77.6338179,15317,13103,True,public,camera,,2022-08-17,2022-08-17T08:10:29Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/9958713117,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/7276524023,,12.9275886,77.621085,15320,13356,True,public,camera,,2022-06-17,2022-06-17T11:32:44Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/7276524023,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/9825196017,,12.9275765,77.6210612,15320,13357,True,public,camera,90,2022-06-17,2022-06-17T11:32:43Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/9825196017,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/9825195917,,12.9275749,77.6210695,15321,13358,True,public,camera,270,2022-06-17,2022-06-17T11:32:42Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/9825195917,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/10882968305,,12.927531,77.6211106,15326,13362,True,public,camera,,2023-05-10,2026-04-12T19:20:30Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/10882968305,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/10882957207,,12.9274248,77.6210671,15337,13374,True,public,camera,270,2023-05-10,2023-05-12T13:20:00Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/10882957207,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/10882957208,,12.9274269,77.6210678,15337,13374,True,public,camera,280,2023-05-10,2023-05-12T13:20:00Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/10882957208,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/10882957209,,12.9274215,77.6210656,15337,13375,True,public,camera,280,2023-05-10,2023-05-16T09:31:19Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/10882957209,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/10220955317,,12.9300004,77.6330246,15360,13164,True,traffic,camera,,2022-11-27,2022-11-27T12:31:13Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/10220955317,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/7192948811,,12.928026,77.6254159,15369,13320,True,public,camera,,,2020-03-09T11:11:15Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/7192948811,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/6859866731,,12.9298498,77.6330163,15376,13180,True,public,camera,,2025-09-13,2025-09-13T14:38:59Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/6859866731,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/10883130005,,12.9297697,77.6330415,15385,13190,True,public,camera,,2023-05-10,2023-05-10T10:19:00Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/10883130005,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/10883130105,,12.929773,77.6330433,15385,13189,True,public,camera,,2023-05-10,2023-05-10T10:19:02Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/10883130105,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/7192996594,,12.9278805,77.6258082,15394,13338,True,public,camera,,,2020-03-09T11:11:15Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/7192996594,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/10220943020,,12.9295957,77.6330623,15405,13209,True,traffic,camera,,2022-11-27,2022-11-27T12:31:13Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/10220943020,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/10220943021,,12.9295957,77.6330623,15405,13209,True,traffic,camera,,2022-11-27,2022-11-27T07:30:26Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/10220943021,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/10220955217,,12.929584,77.6331776,15409,13212,True,traffic,camera,,2022-11-27,2022-11-27T12:31:13Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/10220955217,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/13329863369,,12.9249433,77.5794593,15414,14337,True,indoor/outdoor,camera,181,,2025-11-25T07:55:35Z,2026-09-09T04:20:20Z,review-access-unknown,unknown,https://www.openstreetmap.org/node/13329863369,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/13329863371,,12.9246853,77.5794454,15442,14365,True,camera,camera,50,,2025-11-25T07:55:35Z,2026-09-09T04:20:20Z,review-access-unknown,unknown,https://www.openstreetmap.org/node/13329863371,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/13329863372,,12.9245744,77.5795078,15454,14374,True,camera,camera,272,,2025-11-25T07:55:35Z,2026-09-09T04:20:20Z,review-access-unknown,unknown,https://www.openstreetmap.org/node/13329863372,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/13329863373,,12.9245066,77.5794644,15462,14383,True,camera,camera,39,,2025-11-25T07:55:35Z,2026-09-09T04:20:20Z,review-access-unknown,unknown,https://www.openstreetmap.org/node/13329863373,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/13349339494,,12.9244352,77.5797928,15466,14380,True,outdoor,camera,270,,2025-12-03T03:09:46Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/13349339494,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/11385511628,,12.9288108,77.6330203,15487,13295,True,outdoor,camera,86,,2023-11-30T12:24:04Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/11385511628,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/11385511627,,12.9288025,77.6330491,15489,13297,True,outdoor,camera,176,,2023-11-30T12:24:04Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/11385511627,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/12630034812,,12.9884341,77.4731403,15496,17215,True,public,camera,291,,2025-03-02T10:27:46Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/12630034812,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/12630034817,,12.9884168,77.4731377,15497,17216,True,public,camera,300,,2025-03-02T10:27:46Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/12630034817,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/12630034816,,12.9884018,77.4731312,15498,17217,True,public,camera,,,2025-03-02T10:27:46Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/12630034816,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/12630034815,,12.9883769,77.4731204,15501,17219,True,public,camera,112,,2025-03-02T10:27:46Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/12630034815,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/12630034814,,12.9883631,77.4731102,15502,17221,True,public,camera,115,,2025-03-02T10:27:46Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/12630034814,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/12630034813,,12.9883435,77.4730986,15505,17223,True,public,camera,113,,2025-03-02T10:27:46Z,2026-09-09T04:20:20Z,candidate-public-outdoor,unknown,https://www.openstreetmap.org/node/12630034813,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
node/9687899087,,12.9256305,77.6199608,15511,13573,True,,,,,2022-04-23T13:43:25Z,2026-09-09T04:20:20Z,excluded-non-camera,unknown,https://www.openstreetmap.org/node/9687899087,https://www.thetraffic.in/data/surveillance_cameras.v1.json,ODbL-1.0
